,0.773140597,0.174974981,,,,,
image_index,true_positive_rate,false_positive_rate,true_negative_rate,false_negative_rate,accuracy,precision,recall
0,0.252883031,0.012670495,0.987329505,0.747116969,0.62764538,0.896874087,0.252883031
1,0.980560056,0.047282715,0.952717285,0.019439944,0.995624658,0.715226199,0.980560056
2,0.902597403,0.412567714,0.587432286,0.097402597,0.976065103,0.15434155,0.902597403
3,0.759526693,0.591143609,0.408856391,0.240473307,0.795806962,0.320276588,0.759526693
4,0.983597494,0.621517771,0.378482229,0.016402506,0.983863657,0.370753734,0.983597494
5,0.970866864,0.580673672,0.419326328,0.029133136,0.960203159,0.617132867,0.970866864
6,0.798477479,0.095300817,0.904699183,0.201522521,0.858461843,0.821583986,0.798477479
7,0.971539658,0.101545147,0.898454853,0.028460342,0.971440462,0.899107657,0.971539658
8,0.890667538,0.288931434,0.711068566,0.109332462,0.937445483,0.478780074,0.890667538
9,0.964945825,0.025827304,0.974172696,0.035054175,0.988818013,0.874260141,0.964945825
10,0.911486622,0.179394216,0.820605784,0.088513378,0.974235859,0.418955155,0.911486622
11,0.897682955,0.03710582,0.96289418,0.102317045,0.933662213,0.921573245,0.897682955
12,0.968690702,0.115876837,0.884123163,0.031309298,0.985576135,0.690681549,0.968690702
13,0.599537667,0.364822643,0.635177357,0.400462333,0.810214274,0.270175869,0.599537667
14,0.605128205,0.059688934,0.940311066,0.394871795,0.983775384,0.167792392,0.605128205
15,0.751463211,0.096774194,0.903225806,0.248536789,0.93705831,0.513351421,0.751463211
16,0.938042797,0.23176442,0.76823558,0.061957203,0.959306086,0.610583367,0.938042797
17,0.945655997,0.04509571,0.95490429,0.054344003,0.968571211,0.892818597,0.945655997
18,0.950718686,0.314149541,0.685850459,0.049281314,0.996545271,0.070225997,0.950718686
19,0.738552641,0.060996193,0.939003807,0.261447359,0.820230571,0.873452769,0.738552641
20,0.574278215,0.191704948,0.808295052,0.425721785,0.951593649,0.130284625,0.574278215
21,0.872961599,0.503148537,0.496851463,0.127038401,0.921673559,0.289388787,0.872961599
22,0.523604945,0.02692772,0.97307228,0.476395055,0.596498676,0.955321373,0.523604945
23,0.873368842,0.006309634,0.993690366,0.126631158,0.953320571,0.96969249,0.873368842
24,0.427710843,0.007004067,0.992995933,0.572289157,0.995228049,0.202857143,0.427710843
25,0.872883563,0.113492437,0.886507563,0.127116437,0.973175022,0.449496982,0.872883563
26,0.923853924,0.252163356,0.747836644,0.076146076,0.99353903,0.108574559,0.923853924
27,0.700724638,0.033953342,0.966046658,0.299275362,0.880292747,0.843436546,0.700724638
28,0.823780895,0.116315547,0.883684453,0.176219105,0.929722674,0.61982308,0.823780895
29,0.878267364,0.386769198,0.613230802,0.121732636,0.974817504,0.140108417,0.878267364
30,0,0,1,1,0.960159753,0,0
31,0.826952527,0.097132042,0.902867958,0.173047473,0.981497653,0.304797742,0.826952527
32,0.610354701,0.438240049,0.561759951,0.389645299,0.636006332,0.51013431,0.610354701
33,0.937466047,0.159603977,0.840396023,0.062533953,0.944444444,0.805926003,0.937466047
34,0.826047904,0.010038189,0.989961811,0.173952096,0.971103872,0.882315318,0.826047904
35,0.95858851,0.22605343,0.77394657,0.04141149,0.991090196,0.28449022,0.95858851
36,0.773786408,0.186220169,0.813779831,0.226213592,0.98586851,0.09895704,0.773786408
37,0.927401774,0.115265105,0.884734895,0.072598226,0.92674255,0.886718371,0.927401774
38,0.598453608,0.500035261,0.499964739,0.401546392,0.693437838,0.329408427,0.598453608
39,0.728946471,0.091159252,0.908840748,0.271053529,0.957504811,0.387529454,0.728946471
40,0.960100118,0.078023368,0.921976632,0.039899882,0.985615711,0.715649693,0.960100118
41,0.954375467,0.114263516,0.885736484,0.045624533,0.993195192,0.374358222,0.954375467
42,0.930864198,0.023449402,0.976550598,0.069135802,0.988618465,0.777720474,0.930864198
43,0.977853941,0.553601141,0.446398859,0.022146059,0.970807993,0.61427625,0.977853941
44,0.625061994,0.02509499,0.97490501,0.374938006,0.89047711,0.816101878,0.625061994
45,0.349233983,0.079635684,0.920364316,0.650766017,0.817702999,0.423743135,0.349233983
46,0.700694043,0.050872968,0.949127032,0.299305957,0.947161527,0.565857076,0.700694043
47,0.83258499,0.010655604,0.989344396,0.16741501,0.973983902,0.868517899,0.83258499
48,0.544997623,0.027732721,0.972267279,0.455002377,0.708726466,0.91965616,0.544997623
49,0.947806005,0.102730936,0.897269064,0.052193995,0.981624522,0.641383622,0.947806005
