,0.814389515,0.219724698,,,,,
image_index,true_positive_rate,false_positive_rate,true_negative_rate,false_negative_rate,accuracy,precision,recall
0,0.523640857,0.019526202,0.980473798,0.476359143,0.74433564,0.921170845,0.523640857
1,0.990511456,0.085260237,0.914739763,0.009488544,0.997783724,0.584539743,0.990511456
2,0.956818182,0.429008667,0.570991333,0.043181818,0.989050794,0.156872139,0.956818182
3,0.762601323,0.676837394,0.323162606,0.237398677,0.77589164,0.292384082,0.762601323
4,0.987007003,0.688657884,0.311342116,0.012992997,0.985947778,0.347940489,0.987007003
5,0.970866864,0.738534813,0.261465187,0.029133136,0.955191728,0.558953758,0.970866864
6,0.825826461,0.117847596,0.882152404,0.174173539,0.874660783,0.793874509,0.825826461
7,0.974079834,0.110912603,0.889087397,0.025920166,0.973824045,0.891070328,0.974079834
8,0.908853316,0.34250576,0.65749424,0.091146684,0.944719635,0.441563938,0.908853316
9,0.965423837,0.029652473,0.970347527,0.034576163,0.988933371,0.858336875,0.965423837
10,0.924160129,0.223757458,0.776242542,0.075839871,0.976827807,0.369530245,0.924160129
11,0.944329739,0.052780151,0.947219849,0.055670261,0.962958252,0.896804648,0.944329739
12,0.969283681,0.122750887,0.877249113,0.030716319,0.985762973,0.678369854,0.969283681
13,0.637340223,0.568400417,0.431599583,0.362659777,0.778773174,0.20165211,0.637340223
14,0.911538462,0.121494136,0.878505864,0.088461538,0.996091094,0.129839299,0.911538462
15,0.815844482,0.1465811,0.8534189,0.184155518,0.950670511,0.430557088,0.815844482
16,0.958635509,0.367833235,0.632166765,0.041364491,0.969052484,0.502393018,0.958635509
17,0.949876891,0.052466117,0.947533883,0.050123109,0.970820109,0.877925878,0.949876891
18,0.960985626,0.383231692,0.616768308,0.039014374,0.996969939,0.058897559,0.960985626
19,0.83915169,0.080268477,0.919731523,0.16084831,0.884043583,0.856309725,0.83915169
20,0.684514436,0.26082163,0.73917837,0.315485564,0.960802218,0.116014235,0.684514436
21,0.872961599,0.569051735,0.430948265,0.127038401,0.914251476,0.264746939,0.872961599
22,0.566948303,0.031021994,0.968978006,0.433051697,0.625750294,0.952598653,0.566948303
23,0.873368842,0.006309634,0.993690366,0.126631158,0.953320571,0.96969249,0.873368842
24,0.427710843,0.007004067,0.992995933,0.572289157,0.995228049,0.202857143,0.427710843
25,0.873404532,0.127181217,0.872818783,0.126595468,0.972914983,0.42165493,0.873404532
26,0.923853924,0.283573993,0.716426007,0.076146076,0.993269231,0.09772335,0.923853924
27,0.705072464,0.05167087,0.94832913,0.294927536,0.880302919,0.780794436,0.705072464
28,0.906746827,0.22119022,0.77880978,0.093253173,0.95833582,0.485513985,0.906746827
29,0.886855863,0.483628959,0.516371041,0.113144137,0.972767717,0.11627907,0.886855863
30,0.050430504,0.021206012,0.978793988,0.949569496,0.961342981,0.047018349,0.050430504
31,0.827973456,0.107804737,0.892195263,0.172026544,0.981399713,0.283417788,0.827973456
32,0.691053585,0.547865601,0.452134399,0.308946415,0.677110053,0.485368356,0.691053585
33,0.94332106,0.195792259,0.804207741,0.05667894,0.948337047,0.773051049,0.94332106
34,0.865269461,0.022667758,0.977332242,0.134730539,0.977283627,0.776672937,0.865269461
35,0.988918052,0.367805091,0.632194909,0.011081948,0.99714146,0.201341883,0.988918052
36,0.869902913,0.243700282,0.756299718,0.130097087,0.991252407,0.086211873,0.869902913
37,0.955183777,0.147718866,0.852281134,0.044816223,0.95333738,0.86284118,0.955183777
38,0.603264605,0.546297602,0.453702398,0.396735395,0.68288412,0.311880968,0.603264605
39,0.810092056,0.142579653,0.857420347,0.189907944,0.968416875,0.310142279,0.810092056
40,0.966283863,0.104914478,0.895085522,0.033716137,0.987535719,0.65322982,0.966283863
41,0.974943904,0.159459894,0.840540106,0.025056096,0.996072109,0.304591658,0.974943904
42,0.958333333,0.04031556,0.95968444,0.041666667,0.993014772,0.676913015,0.958333333
43,0.978908516,0.620774899,0.379225101,0.021091484,0.970740985,0.5870727,0.978908516
44,0.734666887,0.054401932,0.945598068,0.265333113,0.919261532,0.706405977,0.734666887
45,0.364728412,0.102609762,0.897390238,0.635271588,0.818159167,0.373440285,0.364728412
46,0.736263736,0.087926222,0.912073778,0.263736264,0.951616754,0.442090641,0.736263736
47,0.869467607,0.010953853,0.989046147,0.130532393,0.979651526,0.870304976,0.869467607
48,0.675677511,0.030066859,0.969933141,0.324322489,0.783028513,0.929025028,0.675677511
49,0.953656659,0.123802418,0.876197582,0.046343341,0.983348546,0.598917037,0.953656659
50,0.217312191,0.127534236,0.872465764,0.782687809,0.290456152,0.778294986,0.217312191
