,0.749143874,0.164309417,,,,,
image_index,true_positive_rate,false_positive_rate,true_negative_rate,false_negative_rate,accuracy,precision,recall
0,0.35601318,0.014967696,0.985032304,0.64398682,0.670133541,0.912006752,0.35601318
1,0.976857209,0.105636369,0.894363631,0.023142791,0.994495059,0.528285357,0.976857209
2,0.87012987,0.398591549,0.601408451,0.12987013,0.968852204,0.154058404,0.87012987
3,0.791297866,0.609867769,0.390132231,0.208702134,0.816325694,0.322412877,0.791297866
4,0.95254331,0.52754906,0.47245094,0.04745669,0.959026176,0.401998911,0.95254331
5,0.950341245,0.511931651,0.488068349,0.049658755,0.936168123,0.641533436,0.950341245
6,0.793331924,0.143222407,0.856777593,0.206668076,0.850541608,0.752742108,0.793331924
7,0.961378953,0.10140029,0.89859971,0.038621047,0.961443913,0.898280455,0.961378953
8,0.868125885,0.254664633,0.745335367,0.131874115,0.92740461,0.50391909,0.868125885
9,0.932919057,0.020045072,0.979954928,0.067080943,0.978814945,0.896493646,0.932919057
10,0.891772279,0.218276285,0.781723715,0.108227721,0.967286878,0.36700058,0.891772279
11,0.833524509,0.027262935,0.972737065,0.166475491,0.894940038,0.93690906,0.833524509
12,0.932637571,0.100038013,0.899961987,0.067362429,0.969633788,0.713482127,0.932637571
13,0.591378841,0.415732402,0.584267598,0.408621159,0.795807427,0.24267619,0.591378841
14,0.575641026,0.065425803,0.934574197,0.424358974,0.982470542,0.148922056,0.575641026
15,0.777591973,0.095325988,0.904674012,0.222408027,0.943564855,0.52564646,0.777591973
16,0.916286149,0.210606639,0.789393361,0.083713851,0.946361472,0.627621734,0.916286149
17,0.924023918,0.042056728,0.957943272,0.075976082,0.956429652,0.897199454,0.924023918
18,0.849075975,0.238661405,0.761338595,0.150924025,0.990464762,0.081550143,0.849075975
19,0.696137162,0.055972053,0.944027947,0.303862838,0.794682113,0.876386963,0.696137162
20,0.553805774,0.200446253,0.799553747,0.446194226,0.948816764,0.121389944,0.553805774
21,0.890189374,0.463452278,0.536547722,0.109810626,0.935323961,0.310746913,0.890189374
22,0.583846484,0.030077161,0.969922839,0.416153516,0.637844013,0.95524836,0.583846484
23,0.891211718,0.007848569,0.992151431,0.108788282,0.95971599,0.963298791,0.891211718
24,0.427710843,0.001154792,0.998845208,0.572289157,0.995255812,0.606837607,0.427710843
25,0.868194842,0.108321119,0.891678881,0.131805158,0.972341414,0.459724138,0.868194842
26,0.884226884,0.208844574,0.791155426,0.115773116,0.990706088,0.123387184,0.884226884
27,0.730797101,0.030517024,0.969482976,0.269202899,0.891956084,0.862088617,0.730797101
28,0.859853039,0.12726434,0.87273566,0.140146961,0.943160575,0.608662758,0.859853039
29,0.696415235,0.321017094,0.678982906,0.303584765,0.943604329,0.134695941,0.696415235
30,0.001230012,0.058616378,0.941383622,0.998769988,0.95783461,0.000435161,0.001230012
31,0.73251659,0.066612339,0.933387661,0.26748341,0.972413793,0.361552028,0.73251659
32,0.828726699,0.465329663,0.534670337,0.171273301,0.818407113,0.571117912,0.828726699
33,0.918874872,0.159817352,0.840182648,0.081125128,0.928508737,0.80256221,0.918874872
34,0.823353293,0.014320786,0.985679214,0.176646707,0.97054786,0.839694656,0.823353293
35,0.694079907,0.159853436,0.840146564,0.305920093,0.940402807,0.289326526,0.694079907
36,0.759223301,0.214934565,0.785065435,0.240776699,0.984437751,0.085389823,0.759223301
37,0.813941698,0.112749692,0.887250308,0.186058302,0.822636768,0.875361213,0.813941698
38,0.545532646,0.393653032,0.606346968,0.454467354,0.689972455,0.362567089,0.545532646
39,0.489601091,0.044621901,0.955378099,0.510398909,0.924855056,0.464724919,0.489601091
40,0.930800942,0.063207661,0.936792339,0.069199058,0.975502332,0.750742192,0.930800942
41,0.94315632,0.111182554,0.888817446,0.05684368,0.991556025,0.377997602,0.94315632
42,0.888580247,0.010337323,0.989662677,0.111419753,0.981941422,0.883399816,0.888580247
43,0.972739257,0.53586879,0.46413121,0.027260743,0.964643529,0.620726783,0.972739257
44,0.524714829,0.00992607,0.99007393,0.475285171,0.864826743,0.90401595,0.524714829
45,0.363509749,0.059609995,0.940390005,0.636490251,0.824289902,0.505569007,0.363509749
46,0.738866397,0.045235619,0.954764381,0.261133603,0.953987261,0.607176806,0.738866397
47,0.76619628,0.002874031,0.997125969,0.23380372,0.964109002,0.95751503,0.76619628
48,0.633770291,0.052102702,0.947897298,0.366229709,0.755326149,0.876314801,0.633770291
49,0.822170901,0.050559618,0.949440382,0.177829099,0.94146119,0.759169747,0.822170901
50,0.187493037,0.092188815,0.907811185,0.812506963,0.278780387,0.807323313,0.187493037
