,0.805129631,0.214359176,,,,,
image_index,true_positive_rate,false_positive_rate,true_negative_rate,false_negative_rate,accuracy,precision,recall
0,0.481878089,0.015506102,0.984493898,0.518121911,0.72567491,0.931232092,0.481878089
1,0.990511456,0.088483422,0.911516578,0.009488544,0.997776814,0.575500874,0.990511456
2,0.955844156,0.424864572,0.575135428,0.044155844,0.988875256,0.158024691,0.955844156
3,0.762601323,0.720572659,0.279427341,0.237398677,0.762523883,0.279599645,0.762601323
4,0.98645411,0.686702347,0.313297653,0.01354589,0.985395658,0.348458709,0.98645411
5,0.970866864,0.647157026,0.352842974,0.029133136,0.958235981,0.591216426,0.970866864
6,0.816099246,0.117653895,0.882346105,0.183900754,0.868139088,0.792199795,0.816099246
7,0.974079834,0.110912603,0.889087397,0.025920166,0.973824045,0.891070328,0.974079834
8,0.907982141,0.325437259,0.674562741,0.092017859,0.945158359,0.453966353,0.907982141
9,0.965423837,0.029652473,0.970347527,0.034576163,0.988933371,0.858336875,0.965423837
10,0.921343794,0.242199321,0.757800679,0.078656206,0.975491272,0.350581751,0.921343794
11,0.909994647,0.039631542,0.960368458,0.090005353,0.941311394,0.917714198,0.909994647
12,0.969283681,0.118506082,0.881493918,0.030716319,0.985815214,0.685999664,0.969283681
13,0.637340223,0.565949887,0.434050113,0.362659777,0.779504775,0.202348573,0.637340223
14,0.864102564,0.13199898,0.86800102,0.135897436,0.993930545,0.115193984,0.864102564
15,0.781981605,0.142378464,0.857621536,0.218018395,0.942102195,0.427298686,0.781981605
16,0.958635509,0.335125386,0.664874614,0.041364491,0.97,0.525651726,0.958635509
17,0.948294056,0.051627777,0.948372223,0.051705944,0.969930964,0.879465014,0.948294056
18,0.960985626,0.367293599,0.632706401,0.039014374,0.997043262,0.06129666,0.960985626
19,0.815327412,0.072928524,0.927071476,0.184672588,0.868606702,0.864369662,0.815327412
20,0.656167979,0.234020213,0.765979787,0.343832021,0.958727158,0.122970979,0.656167979
21,0.872961599,0.569051735,0.430948265,0.127038401,0.914251476,0.264746939,0.872961599
22,0.576733973,0.029499764,0.970500236,0.423266027,0.632874444,0.95555204,0.576733973
23,0.873368842,0.006309634,0.993690366,0.126631158,0.953320571,0.96969249,0.873368842
24,0.427710843,0.007004067,0.992995933,0.572289157,0.995228049,0.202857143,0.427710843
25,0.89059651,0.137136694,0.862863306,0.10940349,0.976312005,0.408092624,0.89059651
26,0.923853924,0.277116214,0.722883786,0.076146076,0.993326524,0.099773433,0.923853924
27,0.705072464,0.05167087,0.94832913,0.294927536,0.880302919,0.780794436,0.705072464
28,0.912892452,0.235983392,0.764016608,0.087107548,0.960459686,0.471046464,0.912892452
29,0.880507842,0.459969991,0.540030009,0.119492158,0.972357794,0.120768246,0.880507842
30,0.050430504,0.022558502,0.977441498,0.949569496,0.961291617,0.044324324,0.050430504
31,0.826952527,0.103073,0.896927,0.173047473,0.981382833,0.292365999,0.826952527
32,0.733594343,0.542491371,0.457508629,0.266405657,0.71633015,0.502763316,0.733594343
33,0.950322931,0.217897836,0.782102164,0.049677069,0.953915502,0.755107914,0.950322931
34,0.841017964,0.020894708,0.979105292,0.158982036,0.973293097,0.785734266,0.841017964
35,0.988918052,0.354789314,0.645210686,0.011081948,0.997191738,0.207197849,0.988918052
36,0.850485437,0.238131896,0.761868104,0.149514563,0.990023968,0.086254431,0.850485437
37,0.970038023,0.149889026,0.850110974,0.029961977,0.968523647,0.862941415,0.970038023
38,0.603264605,0.543758815,0.456241185,0.396735395,0.68366613,0.312881522,0.603264605
39,0.736106376,0.095961367,0.904038633,0.263893624,0.958406105,0.377711686,0.736106376
40,0.964517079,0.095458926,0.904541074,0.035482921,0.986997923,0.673901862,0.964517079
41,0.954375467,0.137919949,0.862080051,0.045624533,0.993023389,0.331428571,0.954375467
42,0.958333333,0.04031556,0.95968444,0.041666667,0.993014772,0.676913015,0.958333333
43,0.978433957,0.615973378,0.384026622,0.021566043,0.970202535,0.588836353,0.978433957
44,0.676806084,0.04306206,0.95693794,0.323193916,0.903440101,0.736861051,0.676806084
45,0.350278552,0.096625409,0.903374591,0.649721448,0.815348078,0.378053363,0.350278552
46,0.736263736,0.087926222,0.912073778,0.263736264,0.951616754,0.442090641,0.736263736
47,0.83258499,0.010655604,0.989344396,0.16741501,0.973983902,0.868517899,0.83258499
48,0.614480744,0.029354749,0.970645251,0.385519256,0.747362799,0.924200633,0.614480744
49,0.953040801,0.119832861,0.880167139,0.046959199,0.983190962,0.606565409,0.953040801
50,0.192469085,0.123402953,0.876597047,0.807530915,0.276736567,0.762654503,0.192469085
51,0.989046392,0.392816271,0.607183729,0.010953608,0.998635305,0.092258685,0.989046392
52,0.999619555,0.632587859,0.367412141,0.000380445,0.999778074,0.192964418,0.999619555
53,0.567307692,0.453763709,0.546236291,0.432692308,0.762960909,0.235405292,0.567307692
54,0.97506044,0.245076382,0.754923618,0.02493956,0.987870912,0.493114543,0.97506044
55,0.654562384,0.034038946,0.965961054,0.345437616,0.980996773,0.346646943,0.654562384
56,0.916567578,0.067306406,0.932693594,0.083432422,0.956630354,0.821273195,0.916567578
57,0.941582337,0.30642944,0.69357056,0.058417663,0.991098963,0.150095322,0.941582337
58,1,0.687050246,0.312949754,0,1,0.280635953,1
59,0.991792327,0.469093605,0.530906395,0.008207673,0.99102234,0.57778272,0.991792327
60,0.725680934,0.039130658,0.960869342,0.274319066,0.98544779,0.328489652,0.725680934
61,0.47,0.028341969,0.971658031,0.53,0.962570621,0.375570776,0.47
62,0.645540579,0.067866239,0.932133761,0.354459421,0.936219619,0.475999154,0.645540579
63,0.305097765,0.065342679,0.934657321,0.694902235,0.587719843,0.722507028,0.305097765
64,0.777146913,0.161210969,0.838789031,0.222853087,0.946439232,0.362903226,0.777146913
65,0.984054134,0.670245599,0.329754401,0.015945866,0.97819089,0.52029991,0.984054134
66,0.426844519,0.038057498,0.961942502,0.573155481,0.931153615,0.417107943,0.426844519
67,0.767592165,0.003341788,0.996658212,0.232407835,0.837756958,0.992919297,0.767592165
68,0.987542822,0.049525673,0.950474327,0.012457178,0.997906746,0.635089125,0.987542822
69,0.938698916,0.139380884,0.860619116,0.061301084,0.991577379,0.300453817,0.938698916
70,0.547567884,0.207677532,0.792322468,0.452432116,0.867928832,0.278988753,0.547567884
71,0.993796045,0.414384938,0.585615062,0.006203955,0.997499414,0.262011859,0.993796045
72,0.7240625,0.29736413,0.70263587,0.2759375,0.941015364,0.174736048,0.7240625
73,0.730077476,0.134016844,0.865983156,0.269922524,0.89611012,0.545764815,0.730077476
74,0.830675173,0.388790772,0.611209228,0.169324827,0.952011451,0.181538283,0.830675173
75,0.98433967,0.764531879,0.235468121,0.01566033,0.980037363,0.353972174,0.98433967
76,0.977660972,0.757663886,0.242336114,0.022339028,0.96535279,0.53925548,0.977660972
77,0.932342796,0.007948994,0.992051006,0.067657204,0.987239473,0.924250395,0.932342796
78,0.62364921,0.097220643,0.902779357,0.37635079,0.905652514,0.467299907,0.62364921
79,0.856840621,0.174615105,0.825384895,0.143159379,0.987868284,0.152791751,0.856840621
80,0.949871765,0.359556998,0.640443002,0.050128235,0.970479198,0.419006479,0.949871765
81,0.946440833,0.274710511,0.725289489,0.053559167,0.9706399,0.490568276,0.946440833
82,0.980620155,0.030823814,0.969176186,0.019379845,0.999742135,0.171177267,0.980620155
83,0.573597482,0.233243735,0.766756265,0.426402518,0.865451465,0.277399713,0.573597482
84,0.965002869,0.01856822,0.98143178,0.034997131,0.993814015,0.832261257,0.965002869
85,0.973256925,0.143634637,0.856365363,0.026743075,0.998373653,0.15406713,0.973256925
86,0.060751105,0.547580732,0.452419268,0.939248895,0.769505308,0.008017103,0.060751105
87,0.853421738,0.065628756,0.934371244,0.146578262,0.967651747,0.605510753,0.853421738
88,0.982487467,0.640001572,0.359998428,0.017512533,0.978726954,0.467715042,0.982487467
89,0.657981221,0.368170267,0.631829733,0.342018779,0.813944579,0.326006048,0.657981221
90,0.361846284,0.339342915,0.660657085,0.638153716,0.805817737,0.124926901,0.361846284
91,0.867941307,0.095290406,0.904709594,0.132058693,0.968073957,0.535748593,0.867941307
92,0.987502111,0.453748257,0.546251743,0.012497889,0.985264835,0.634830444,0.987502111
93,0.652092275,0.010062858,0.989937142,0.347907725,0.9366266,0.869456366,0.652092275
94,0.700239808,0.193918194,0.806081806,0.299760192,0.984688409,0.071402372,0.700239808
95,0.968939287,0.326292535,0.673707465,0.031060713,0.972456436,0.620355339,0.968939287
96,0.912154133,0.037139415,0.962860585,0.087845867,0.948233176,0.911148792,0.912154133
97,0.462140992,0.013765714,0.986234286,0.537859008,0.837271439,0.867146974,0.462140992
98,0.477784932,0.011844744,0.988155256,0.522215068,0.921233459,0.772514315,0.477784932
99,0.91438505,0.094591368,0.905408632,0.08561495,0.989244083,0.371075838,0.91438505
100,0.921086426,0.190534676,0.809465324,0.078913574,0.932795625,0.755039739,0.921086426
101,0.48625359,0.426297154,0.573702846,0.51374641,0.900788462,0.068903361,0.48625359
102,0.730823166,0.12782656,0.87217344,0.269176834,0.810648845,0.760081674,0.730823166
103,0.823359769,0.147526059,0.852473941,0.176640231,0.840526737,0.820810527,0.823359769
104,0.985874931,0.328635196,0.671364804,0.014125069,0.992982217,0.400769317,0.985874931
105,0.966181844,0.424298276,0.575701724,0.033818156,0.967915166,0.549622988,0.966181844
106,0.703539823,0.008925429,0.991074571,0.296460177,0.996625705,0.309338521,0.703539823
107,0.611190408,0.120393457,0.879606543,0.388809592,0.926314651,0.327620505,0.611190408
108,0.851895735,0.108034036,0.891965964,0.148104265,0.986153804,0.257844719,0.851895735
109,0.838897516,0.084010261,0.915989739,0.161102484,0.977730675,0.407351555,0.838897516
110,0.98871449,0.132296925,0.867703075,0.01128551,0.9951417,0.640827308,0.98871449
111,0.789337395,0.019410797,0.980589203,0.210662605,0.932096038,0.888698336,0.789337395
112,0.869622393,0.054128096,0.945871904,0.130377607,0.964242471,0.71149708,0.869622393
113,0.298556865,0.415602153,0.584397847,0.701443135,0.473490683,0.303581045,0.298556865
114,0.219298246,0.067098694,0.932901306,0.780701754,0.985800138,0.027412281,0.219298246
115,0.893096515,0.06191917,0.93808083,0.106903485,0.983222447,0.537623563,0.893096515
116,0.916607316,0.282997353,0.717002647,0.083392684,0.924983255,0.670757131,0.916607316
117,0.692401882,0.053138913,0.946861087,0.307598118,0.780410379,0.891988377,0.692401882
118,0.53473762,0.023596289,0.976403711,0.46526238,0.937640853,0.621830683,0.53473762
119,0.239077119,0.104159715,0.895840285,0.760922881,0.389442612,0.737564803,0.239077119
120,0.823641201,0.169364982,0.830635018,0.176358799,0.972813827,0.255061205,0.823641201
121,0.760711985,0.184853538,0.815146462,0.239288015,0.843103084,0.649408691,0.760711985
122,0.961977186,0.105715559,0.894284441,0.038022814,0.996114996,0.305081826,0.961977186
123,0.763104152,0.008553235,0.991446765,0.236895848,0.965526635,0.876123486,0.763104152
124,0.984200038,0.252377933,0.747622067,0.015799962,0.981269511,0.812845331,0.984200038
125,0.931905988,0.824485059,0.175514941,0.068094012,0.906570955,0.337413301,0.931905988
126,0.502690333,0.040829172,0.959170828,0.497309667,0.658324127,0.893088672,0.502690333
127,0.997525773,0.671031271,0.328968729,0.002474227,0.999188751,0.08754026,0.997525773
128,0.605944914,0.092230204,0.907769796,0.394055086,0.924135034,0.398708057,0.605944914
129,0.966780732,0.082504166,0.917495834,0.033219268,0.967556173,0.913768224,0.966780732
130,0.998020072,0.449374827,0.550625173,0.001979928,0.997974577,0.561993003,0.998020072
131,0.899247841,0.738394171,0.261605829,0.100752159,0.888723655,0.309709607,0.899247841
132,0.10391843,0.318663266,0.681336734,0.89608157,0.366802807,0.192130644,0.10391843
133,0.847830119,0.193524096,0.806475904,0.152169881,0.9088004,0.617895519,0.847830119
134,0.657563025,0.034432171,0.965567829,0.342436975,0.911666174,0.742025862,0.657563025
135,0.986194611,0.499871043,0.500128957,0.013805389,0.98992648,0.363584123,0.986194611
136,0.821940928,0.004740435,0.995259565,0.178059072,0.989457116,0.841105354,0.821940928
137,0.898368883,0.168640661,0.831359339,0.101631117,0.98100598,0.315696649,0.898368883
138,0.386170907,0.064522838,0.935477162,0.613829093,0.95106477,0.192582954,0.386170907
139,0.611309687,0.187871704,0.812128296,0.388690313,0.781256447,0.549649773,0.611309687
140,0.981780464,0.918687096,0.081312904,0.018219536,0.970381232,0.290677491,0.981780464
141,0.914025902,0.221907564,0.778092436,0.085974098,0.980645762,0.291271514,0.914025902
142,0.74519042,0.430165808,0.569834192,0.25480958,0.947102453,0.105391749,0.74519042
143,0.908542714,0.039482118,0.960517882,0.091457286,0.995278981,0.369885434,0.908542714
144,0.912914463,0.079165245,0.920834755,0.087085537,0.964587377,0.734863433,0.912914463
145,0.28379179,0.217101295,0.782898705,0.71620821,0.60031174,0.353990709,0.28379179
146,0.842820731,0.198361796,0.801638204,0.157179269,0.988609777,0.114114805,0.842820731
147,0.614844534,0.208368587,0.791631413,0.385155466,0.976191214,0.0701373,0.614844534
148,0.941862159,0.158553882,0.841446118,0.058137841,0.977294067,0.551629971,0.941862159
149,0.86887629,0.090093898,0.909906102,0.13112371,0.952423651,0.667001451,0.86887629
150,0.85687938,0.003379013,0.996620987,0.14312062,0.980726243,0.948550429,0.85687938
151,0.016770484,0,1,0.983229516,0.813894431,1,0.016770484
152,0.159709619,0.02749285,0.97250715,0.840290381,0.544775239,0.753166724,0.159709619
153,0.914615084,0.177630695,0.822369305,0.085384916,0.95088094,0.639087992,0.914615084
154,0.762395573,0.063736478,0.936263522,0.237604427,0.891120613,0.78173323,0.762395573
155,0.890111421,0.481630265,0.518369735,0.109888579,0.892025044,0.508614858,0.890111421
156,0.937372362,0.111748862,0.888251138,0.062627638,0.970216095,0.703328509,0.937372362
157,0.979142731,0.068014642,0.931985358,0.020857269,0.987671412,0.850268611,0.979142731
158,0.939161732,0.287348265,0.712651735,0.060838268,0.966735439,0.472819733,0.939161732
159,0.619452606,0.155458802,0.844541198,0.380547394,0.867858677,0.434537368,0.619452606
160,0.982715535,0.612449571,0.387550429,0.017284465,0.99103962,0.179593545,0.982715535
161,0.775760462,0.110124564,0.889875436,0.224239538,0.817189168,0.83608135,0.775760462
162,0.246588924,0.006801637,0.993198363,0.753411076,0.42833602,0.976079238,0.246588924
163,0.76595162,0.097090721,0.902909279,0.23404838,0.870974235,0.748461333,0.76595162
164,0.715535273,0.017673642,0.982326358,0.284464727,0.926813757,0.85972127,0.715535273
165,0.901098901,0.064056003,0.935943997,0.098901099,0.989513823,0.425672487,0.901098901
166,0.969909664,0.157884045,0.842115955,0.030090336,0.974683544,0.793407762,0.969909664
167,0.964285714,0.032385519,0.967614481,0.035714286,0.981173247,0.912627551,0.964285714
168,0.79110163,0.131082334,0.868917666,0.20889837,0.925867849,0.542245431,0.79110163
169,0.85435022,0.036078832,0.963921168,0.14564978,0.897274073,0.931062936,0.85435022
170,0.950934579,0.326725796,0.673274204,0.049065421,0.990966447,0.166439477,0.950934579
171,0.949218228,0.148353169,0.851646831,0.050781772,0.978625267,0.595539532,0.949218228
172,0.855948953,0.145395002,0.854604998,0.144051047,0.870211142,0.823849122,0.855948953
173,0.619844835,0.098655347,0.901344653,0.380155165,0.903018308,0.467148792,0.619844835
