,0.841416269,0.241493084,,,,,
image_index,true_positive_rate,false_positive_rate,true_negative_rate,false_negative_rate,accuracy,precision,recall
0,0.583031301,0.020638909,0.979361091,0.416968699,0.7724279,0.924866066,0.583031301
1,0.996528581,0.144791054,0.855208946,0.003471419,0.999139143,0.454603041,0.996528581
2,0.960714286,0.441197183,0.558802817,0.039285714,0.989845586,0.153730258,0.960714286
3,0.762601323,0.753100762,0.246899238,0.237398677,0.751499488,0.270793357,0.762601323
4,0.987744195,0.693460958,0.306539042,0.012255805,0.986646586,0.346534333,0.987744195
5,0.970866864,0.759550231,0.240449769,0.029133136,0.954427758,0.552025716,0.970866864
6,0.837879749,0.129973269,0.870026731,0.162120251,0.881884709,0.77988453,0.837879749
7,0.974079834,0.110912603,0.889087397,0.025920166,0.973824045,0.891070328,0.974079834
8,0.910160078,0.368530357,0.631469643,0.089839922,0.944007059,0.423941162,0.910160078
9,0.965423837,0.030897877,0.969102123,0.034576163,0.988921506,0.853260104,0.965423837
10,0.924160129,0.259299438,0.740700562,0.075839871,0.975905924,0.335892374,0.924160129
11,0.944329739,0.054043012,0.945956988,0.055670261,0.962926183,0.894595769,0.944329739
12,0.969758065,0.12392296,0.87607704,0.030241935,0.985967036,0.676400033,0.969758065
13,0.674598858,0.654230227,0.345769773,0.325401142,0.772474447,0.188495004,0.674598858
14,0.911538462,0.160326364,0.839673636,0.088461538,0.995914863,0.101585941,0.911538462
15,0.824414716,0.173415493,0.826584507,0.175585284,0.951631014,0.392398766,0.824414716
16,0.959351777,0.4220804,0.5779196,0.040648223,0.967898179,0.468231078,0.959351777
17,0.952075273,0.054422244,0.945577756,0.047924727,0.972041963,0.874202665,0.952075273
18,0.960985626,0.398477938,0.601522062,0.039014374,0.996896312,0.056772002,0.960985626
19,0.885147697,0.11928406,0.88071594,0.114852303,0.913640011,0.808795772,0.885147697
20,0.691863517,0.302664392,0.697335608,0.308136483,0.959596655,0.10258406,0.691863517
21,0.872961599,0.575472281,0.424527719,0.127038401,0.913452493,0.262568728,0.872961599
22,0.587235668,0.035588683,0.964411317,0.412764332,0.639475495,0.947765794,0.587235668
23,0.873368842,0.006309634,0.993690366,0.126631158,0.953320571,0.96969249,0.873368842
24,0.427710843,0.008635839,0.991364161,0.572289157,0.995220246,0.171084337,0.427710843
25,0.89059651,0.154337546,0.845662454,0.10940349,0.97588909,0.379888889,0.89059651
26,0.926184926,0.30248237,0.69751763,0.073815074,0.993306324,0.092388777,0.926184926
27,0.706400966,0.05334174,0.94665826,0.293599034,0.880654901,0.775626575,0.706400966
28,0.951102204,0.27255113,0.72744887,0.048897796,0.976764855,0.445466491,0.951102204
29,0.98506348,0.514602647,0.485397353,0.01493652,0.996160123,0.120765428,0.98506348
30,0.18696187,0.051037334,0.948962666,0.81303813,0.965805334,0.07063197,0.18696187
31,0.827973456,0.111931863,0.888068137,0.172026544,0.981318773,0.27585034,0.827973456
32,0.839128148,0.574780443,0.425219557,0.160871852,0.813973917,0.521897147,0.839128148
33,0.950383292,0.225792686,0.774207314,0.049616708,0.953730545,0.748478798,0.950383292
34,0.865269461,0.022667758,0.977332242,0.134730539,0.977283627,0.776672937,0.865269461
35,0.994750656,0.39123896,0.60876104,0.005249344,0.998599767,0.19250522,0.994750656
36,0.869902913,0.267256864,0.732743136,0.130097087,0.9909822,0.079214924,0.869902913
37,0.97652725,0.173908755,0.826091245,0.02347275,0.974930287,0.84526944,0.97652725
38,0.605927835,0.587588152,0.412411848,0.394072165,0.67145364,0.297381625,0.605927835
39,0.82202523,0.150592171,0.849407829,0.17797477,0.970120206,0.301638934,0.82202523
40,0.966283863,0.104914478,0.895085522,0.033716137,0.987535719,0.65322982,0.966283863
41,0.974943904,0.183544982,0.816455018,0.025056096,0.9959658,0.27563967,0.974943904
42,0.958333333,0.04031556,0.95968444,0.041666667,0.993014772,0.676913015,0.958333333
43,0.978908516,0.629046827,0.370953173,0.021091484,0.970553592,0.583860113,0.978908516
44,0.746569681,0.05767135,0.94232865,0.253430319,0.922526848,0.697559469,0.746569681
45,0.364728412,0.104332088,0.895667912,0.635271588,0.817891454,0.369553713,0.364728412
46,0.737709659,0.096655903,0.903344097,0.262290341,0.951464883,0.419365445,0.737709659
47,0.876844131,0.015590261,0.984409739,0.123155869,0.98070788,0.82623149,0.876844131
48,0.703796781,0.06230961,0.93769039,0.296203219,0.796148273,0.868057301,0.703796781
49,0.955966128,0.124936577,0.875063423,0.044033872,0.984155125,0.597306397,0.955966128
50,0.243380742,0.133272129,0.866727871,0.756619258,0.304998891,0.790019286,0.243380742
