image_index,true_positive_rate,false_positive_rate,true_negative_rate,false_negative_rate,accuracy,precision,recall
0,0.5536243822075783,0.017982770997846374,0.9820172290021536,0.44637561779242174,0.7587158822743666,0.9306286347272223,0.5536243822075783
1,0.9965285813469105,0.16113119762325176,0.8388688023767482,0.0034714186530895625,0.9991244965855367,0.4282446544007956,0.9965285813469105
2,0.9558441558441558,0.42486457204767064,0.5751354279523294,0.04415584415584416,0.9888752556237219,0.1580246913580247,0.9558441558441558
3,0.7595266933755707,0.7168141592920354,0.2831858407079646,0.24047330662442934,0.7610406443847791,0.2798393464007415,0.7595266933755707
4,0.9876520457058606,0.6868738850006861,0.31312611499931386,0.012347954294139329,0.986675284641774,0.34867757571814306,0.9876520457058606
5,0.9708668636039524,0.7072080919179023,0.2927919080820976,0.02913313639604767,0.9562841530054644,0.5696100403406544,0.9708668636039524
6,0.8317473743568056,0.1245496455274474,0.8754503544725526,0.1682526256431945,0.8781272337383845,0.7858807858807859,0.8317473743568056
7,0.9740798341109383,0.11091260260743602,0.8890873973925639,0.02592016588906169,0.9738240452320498,0.891070327690046,0.9740798341109383
8,0.9088533159098334,0.33932569685563163,0.6606743031443684,0.09114668409016662,0.9448979591836735,0.4438653406371324,0.9088533159098334
9,0.9654238368387508,0.038222037717945676,0.9617779622820544,0.0345761631612492,0.9888512124948623,0.8245781164942841,0.9654238368387508
10,0.9221484610742305,0.24685260783921895,0.7531473921607811,0.07785153892576946,0.9756143667296786,0.3464590733882549,0.9221484610742305
11,0.9099946470903112,0.03955725587787394,0.960442744122126,0.09000535290968877,0.9413143199042681,0.9178557655225608,0.9099946470903112
12,0.969758064516129,0.11967815509376584,0.8803218449062341,0.03024193548387097,0.9860185870548565,0.6839815976578837,0.969758064516129
13,0.6376121838455262,0.6244256570483367,0.3755743429516633,0.36238781615447374,0.7607719928186715,0.1870064608758076,0.6376121838455262
14,0.8641025641025641,0.10007649158592555,0.8999235084140744,0.1358974358974359,0.9941405710179376,0.14655359860839312,0.8641025641025641
15,0.7556438127090301,0.15717287596547025,0.8428271240345298,0.2443561872909699,0.9343885053600494,0.3950819672131147,0.7556438127090301
16,0.9586355089981198,0.3287780514030037,0.6712219485969962,0.04136449100188021,0.9701771939450666,0.5304171207767759,0.9586355089981198
17,0.9498768906085121,0.05295514880536538,0.9470448511946347,0.05012310939148786,0.9708096481794438,0.876928072739081,0.9498768906085121
18,0.9609856262833676,0.395454312509609,0.6045456874903911,0.039014373716632446,0.9969111969111969,0.05718125725456656,0.9609856262833676
19,0.8673139158576052,0.09400635867645327,0.9059936413235468,0.13268608414239483,0.9025093595062228,0.8402374758188246,0.8673139158576052
20,0.6635170603674541,0.2500065625410159,0.7499934374589842,0.33648293963254594,0.9588006555901919,0.1171672228401928,0.6635170603674541
21,0.8729615991583377,0.5702247191011236,0.4297752808988764,0.1270384008416623,0.9141066109456275,0.2643463024172673,0.8729615991583377
22,0.5871401976227982,0.03175686315678967,0.9682431368432103,0.41285980237720177,0.6399550412122221,0.9531189461449051,0.5871401976227982
23,0.8733688415446071,0.006309633733456448,0.9936903662665435,0.1266311584553928,0.9533205713444265,0.969692489651094,0.8733688415446071
24,0.42771084337349397,0.00863583873073254,0.9913641612692674,0.572289156626506,0.9952202460315464,0.1710843373493976,0.42771084337349397
25,0.8900755405053399,0.1573794972484168,0.8426205027515832,0.10992445949466007,0.9756989433071319,0.37516469038208167,0.8900755405053399
26,0.9261849261849262,0.29377728411644666,0.7062227158835533,0.07381507381507381,0.9933848617784277,0.094866693195384,0.9261849261849262
27,0.7050724637681159,0.05167087011349306,0.948329129886507,0.29492753623188406,0.8803029189030218,0.7807944362712318,0.7050724637681159
28,0.9336005344021376,0.23078579117330464,0.7692142088266953,0.06639946559786239,0.9698723971751584,0.4821970742478609,0.9336005344021376
29,0.8868558625840179,0.47489416429987674,0.5251058357001233,0.11314413741598207,0.9731609017228398,0.11816508283994229,0.8868558625840179
30,0.11808118081180811,0.053640237833975556,0.9463597621660245,0.8819188191881919,0.962864171953904,0.04367606915377616,0.11808118081180811
31,0.8269525267993875,0.10373018585210694,0.8962698141478931,0.17304747320061256,0.9813700436897206,0.2910528206970895,0.8269525267993875
32,0.9191842458949336,0.6014768209026958,0.39852317909730417,0.08081575410506632,0.8998442988014629,0.5332926498508272,0.9191842458949336
33,0.9503229311281464,0.22143984978449197,0.7785601502155081,0.049677068871853684,0.9538081607453556,0.7521138871638083,0.9503229311281464
34,0.8410179640718562,0.02089470812875068,0.9791052918712493,0.15898203592814372,0.9732930969445492,0.7857342657342657,0.8410179640718562
35,0.9900845727617381,0.3852779524760056,0.6147220475239944,0.009915427238261883,0.9973789700894233,0.19416642836717185,0.9900845727617381
36,0.8699029126213592,0.2548370541442135,0.7451629458557865,0.13009708737864079,0.9911267092672913,0.08275607278101044,0.8699029126213592
37,0.9765272496831432,0.1615782983970407,0.8384217016029593,0.02347275031685678,0.9750988248581494,0.8546454876209069,0.9765272496831432
38,0.6032646048109965,0.5737306064880113,0.4262693935119887,0.3967353951890034,0.6741806893145659,0.30146395912935214,0.6032646048109965
39,0.7361063757245141,0.10267893274341058,0.8973210672565894,0.26389362427548585,0.9581259467647695,0.3619446772841576,0.7361063757245141
40,0.9601001177856302,0.08320284268850879,0.9167971573114913,0.039899882214369846,0.9855497493867975,0.7023912106850495,0.9601001177856302
41,0.974943904263276,0.1604511600492954,0.8395488399507046,0.02505609573672401,0.9960678443570632,0.3032805956258725,0.974943904263276
42,0.9583333333333334,0.04031556039173014,0.9596844396082699,0.041666666666666664,0.9930147724626808,0.6769130150425114,0.9583333333333334
43,0.9789085156867915,0.6267173758022344,0.37328262419776564,0.021091484313208543,0.9706066061652644,0.5847612448028222,0.9789085156867915
44,0.6768060836501901,0.04306206002768696,0.956937939972313,0.3231939163498099,0.9034401007581557,0.7368610511159107,0.6768060836501901
45,0.3647284122562674,0.10628794955628211,0.8937120504437179,0.6352715877437326,0.8175864827034593,0.3652370990237099,0.3647284122562674
46,0.7264314632735686,0.07971649061354058,0.9202835093864594,0.27356853672643144,0.9502537270265295,0.4630414746543779,0.7264314632735686
47,0.8325849903784477,0.010655604359850333,0.9893443956401496,0.16741500962155229,0.9739839019163199,0.8685178989628638,0.8325849903784477
48,0.7011478638864362,0.06143925307591882,0.9385607469240812,0.2988521361135638,0.7946180596074405,0.8692320646682384,0.7011478638864362
49,0.9530408006158584,0.1198328607670497,0.8801671392329503,0.04695919938414165,0.9831909616974374,0.6065654091131798,0.9530408006158584
50,0.1975565375617364,0.12340295310228751,0.8765970468977125,0.8024434624382636,0.2796519767984532,0.7673445838742248,0.1975565375617364
51,0.9890463917525774,0.4440803162713275,0.5559196837286725,0.01095360824742268,0.9985180665126618,0.08248696867107314,0.9890463917525774
52,0.9996195548792087,0.6327893388596264,0.3672106611403736,0.00038044512079132587,0.9997779874562913,0.19291483113069016,0.9996195548792087
53,0.5810981781376519,0.47220837487537387,0.5277916251246261,0.4189018218623482,0.7648019889895223,0.23256873765760291,0.5810981781376519
54,0.9750604402595751,0.25021001213403443,0.7497899878659656,0.024939559740424992,0.9878086707719101,0.48793377905125757,0.9750604402595751
55,0.6312849162011173,0.031007552792478035,0.968992447207522,0.3687150837988827,0.9797902472632627,0.3596816976127321,0.6312849162011173
56,0.9218192627824019,0.06907850742276314,0.9309214925772369,0.07818073721759809,0.9592490251271854,0.8182777728911954,0.9218192627824019
57,0.9415823367065317,0.35364564056469094,0.6463543594353091,0.05841766329346826,0.9905046728971962,0.1327152489626556,0.9415823367065317
58,1.0,0.6870502456807736,0.3129497543192265,0.0,1.0,0.2806359532660648,1.0
