,0.70342447,0.125754625,,,,,
image_index,true_positive_rate,false_positive_rate,true_negative_rate,false_negative_rate,accuracy,precision,recall
0,0.103459638,0.009296482,0.990703518,0.896540362,0.570014815,0.829042904,0.103459638
1,0.962508679,0.034418005,0.965581995,0.037491321,0.991678225,0.772043809,0.962508679
2,0.896428571,0.356906826,0.643093174,0.103571429,0.976493995,0.173233781,0.896428571
3,0.748439393,0.466258926,0.533741074,0.251560607,0.814139189,0.370542922,0.748439393
4,0.945632142,0.461609716,0.538390284,0.054367858,0.956513728,0.432685416,0.945632142
5,0.967963736,0.492094668,0.507905332,0.032036264,0.958898291,0.654735246,0.967963736
6,0.628674138,0.038662689,0.961337311,0.371325862,0.762005873,0.899364727,0.628674138
7,0.928771384,0.072187349,0.927812651,0.071228616,0.931091552,0.922981814,0.928771384
8,0.690515082,0.20255054,0.79744946,0.309484918,0.844699454,0.503933879,0.690515082
9,0.932919057,0.019985767,0.980014233,0.067080943,0.978816011,0.896768265,0.932919057
10,0.857976262,0.108424448,0.891575552,0.142023738,0.961742712,0.528959444,0.857976262
11,0.842165634,0.0300858,0.9699142,0.157834366,0.899936976,0.93148947,0.842165634
12,0.934535104,0.097060314,0.902939686,0.065464896,0.970550576,0.72002924,0.934535104
13,0.435273321,0.052012498,0.947987502,0.564726679,0.804357555,0.653398653,0.435273321
14,0.557692308,0.024834268,0.975165732,0.442307692,0.98247441,0.308729595,0.557692308
15,0.75062709,0.039413903,0.960586097,0.24937291,0.940057782,0.721229162,0.75062709
16,0.917897753,0.082099129,0.917900871,0.082102247,0.952425422,0.812425707,0.917897753
17,0.933608864,0.006811513,0.993188487,0.066391136,0.962771203,0.981964484,0.933608864
18,0.880903491,0.166939989,0.833060011,0.119096509,0.993095444,0.116370541,0.880903491
19,0.397989396,0.032578404,0.967421596,0.602010604,0.635046856,0.874432678,0.397989396
20,0.412598425,0.072424203,0.927575797,0.587401575,0.941657977,0.221720733,0.412598425
21,0.869542346,0.472218792,0.527781208,0.130457654,0.922783529,0.301780009,0.869542346
22,0.482839276,0.018319248,0.981680752,0.517160724,0.570803209,0.966647554,0.482839276
23,0.769374168,0.00236996,0.99763004,0.230625832,0.916840715,0.986848847,0.769374168
24,0.427710843,0.001154792,0.998845208,0.572289157,0.995255812,0.606837607,0.427710843
25,0.779890597,0.08102652,0.91897348,0.220109403,0.955426612,0.505401756,0.779890597
26,0.869463869,0.195360732,0.804639268,0.130536131,0.989694832,0.128887353,0.869463869
27,0.690338164,0.02241488,0.97758512,0.309661836,0.877475928,0.889372958,0.690338164
28,0.728390114,0.020851915,0.979148085,0.271609886,0.901680571,0.889396411,0.728390114
29,0.799477222,0.266545201,0.733454799,0.200522778,0.964889339,0.177103152,0.799477222
30,0,0,1,1,0.960159753,0,0
31,0.701378254,0.032780421,0.967219579,0.298621746,0.970257766,0.524227394,0.701378254
32,0.565827149,0.304364923,0.695635077,0.434172851,0.632759984,0.581596492,0.565827149
33,0.925997465,0.126061537,0.873938463,0.074002535,0.935932274,0.838535119,0.925997465
34,0.79491018,0.004037098,0.995962902,0.20508982,0.966203715,0.947199429,0.79491018
35,0.911052785,0.066555467,0.933444533,0.088947215,0.983892688,0.562072688,0.911052785
36,0.759223301,0.134128817,0.865871183,0.240776699,0.985837069,0.130138126,0.759223301
37,0.685120406,0.065795314,0.934204686,0.314879594,0.723198966,0.91015625,0.685120406
38,0.536769759,0.251480959,0.748519041,0.463230241,0.718139049,0.46696562,0.536769759
39,0.518240709,0.034559042,0.965440958,0.481759291,0.929582378,0.542663335,0.518240709
40,0.915930506,0.061702,0.938298,0.084069494,0.970354603,0.752237001,0.915930506
41,0.94315632,0.089535444,0.910464556,0.05684368,0.991741375,0.430081855,0.94315632
42,0.887654321,0.009385201,0.990614799,0.112345679,0.981808641,0.892890407,0.887654321
43,0.961508041,0.367863085,0.632136915,0.038491959,0.955746848,0.702075232,0.961508041
44,0.493635312,0.009749345,0.990250655,0.506364688,0.856641393,0.900211034,0.493635312
45,0.320160167,0.047495329,0.952504671,0.679839833,0.815270353,0.530582804,0.320160167
46,0.656737999,0.031032784,0.968967216,0.343262001,0.940728535,0.666960352,0.656737999
47,0.765875561,0.002874031,0.997125969,0.234124439,0.964060654,0.957497995,0.765875561
48,0.356313251,0.011591565,0.988408435,0.643686749,0.614630774,0.947102365,0.356313251
49,0.894226328,0.031338606,0.968661394,0.105773672,0.965335419,0.846894138,0.894226328
50,0.137324074,0.072450463,0.927549537,0.862675926,0.254029927,0.796124865,0.137324074
51,0.87242268,0.146977736,0.853022264,0.12757732,0.988537355,0.193290507,0.87242268
52,0.99923911,0.524450969,0.475549031,0.00076089,0.999632741,0.223779501,0.99923911
53,0.535425101,0.417622134,0.582377866,0.464574899,0.757367517,0.239963711,0.535425101
