,0.742144227,0.162115148,,,,,
image_index,true_positive_rate,false_positive_rate,true_negative_rate,false_negative_rate,accuracy,precision,recall
0,0.355848435,0.014429289,0.985570711,0.644151565,0.670167447,0.914866582,0.355848435
1,0.976857209,0.105468203,0.894531797,0.023142791,0.994495968,0.528682365,0.976857209
2,0.863961039,0.387269772,0.612730228,0.136038961,0.967918533,0.156907837,0.863961039
3,0.74648281,0.604879215,0.395120785,0.25351719,0.782476617,0.311569123,0.74648281
4,0.947290822,0.52356937,0.47643063,0.052709178,0.95480226,0.402490114,0.947290822
5,0.96781094,0.496219189,0.503780811,0.03218906,0.958592675,0.652810224,0.96781094
6,0.794953126,0.142680045,0.857319955,0.205046874,0.851680008,0.753826616,0.794953126
7,0.969362364,0.102897151,0.897102849,0.030637636,0.969266771,0.897695631,0.969362364
8,0.874115213,0.259272479,0.740727521,0.125884787,0.930290056,0.501155023,0.874115213
9,0.932919057,0.019985767,0.980014233,0.067080943,0.978816011,0.896768265,0.932919057
10,0.877891772,0.210083074,0.789916926,0.122108228,0.963486526,0.37225966,0.877891772
11,0.835359792,0.029045797,0.970954203,0.164640208,0.89591743,0.933196651,0.835359792
12,0.932518975,0.099752914,0.900247086,0.067481025,0.969588455,0.71403923,0.932518975
13,0.588659233,0.422716412,0.577283588,0.411340767,0.792985458,0.238788681,0.588659233
14,0.562820513,0.057062723,0.942937277,0.437179487,0.982101147,0.163989541,0.562820513
15,0.754807692,0.096603816,0.903396184,0.245192308,0.937888857,0.514900898,0.754807692
16,0.918793088,0.206305713,0.793694287,0.081206912,0.948110644,0.633066009,0.918793088
17,0.939060851,0.035419869,0.964580131,0.060939149,0.965069684,0.91328145,0.939060851
18,0.849075975,0.237943935,0.762056065,0.150924025,0.990473413,0.081775932,0.849075975
19,0.70825587,0.055383287,0.944616713,0.29174413,0.802129547,0.879370779,0.70825587
20,0.559055118,0.194041213,0.805958787,0.440944882,0.949772782,0.125931181,0.559055118
21,0.869542346,0.473762193,0.526237807,0.130457654,0.922632975,0.301092896,0.869542346
22,0.569239582,0.029342292,0.970657708,0.430760418,0.627607552,0.955222685,0.569239582
23,0.872436751,0.006340412,0.993659588,0.127563249,0.952983903,0.969517609,0.872436751
24,0.427710843,0.001154792,0.998845208,0.572289157,0.995255812,0.606837607,0.427710843
25,0.847095598,0.102486104,0.897513896,0.152904402,0.968167891,0.467375683,0.847095598
26,0.859362859,0.197737194,0.802262806,0.140637141,0.988870442,0.126241297,0.859362859
27,0.69468599,0.027490542,0.972509458,0.30531401,0.878624928,0.868357488,0.69468599
28,0.859853039,0.118991235,0.881008765,0.140146961,0.943571813,0.624551189,0.859853039
29,0.696415235,0.320722362,0.679277638,0.303584765,0.943625836,0.134803036,0.696415235
30,0.001230012,0.060657871,0.939342129,0.998769988,0.957746845,0.000420521,0.001230012
31,0.73251659,0.063247549,0.936752451,0.26748341,0.972506427,0.373600625,0.73251659
32,0.821013265,0.467907546,0.532092454,0.178986735,0.810657106,0.567470415,0.821013265
33,0.926540713,0.150428882,0.849571118,0.073459287,0.935423963,0.813245033,0.926540713
34,0.820958084,0.013420622,0.986579378,0.179041916,0.970179026,0.847866419,0.820958084
35,0.692621756,0.161083919,0.838916081,0.307378244,0.940050621,0.287321558,0.692621756
36,0.759223301,0.205003849,0.794996151,0.240776699,0.984624446,0.089157451,0.759223301
37,0.822864385,0.114623921,0.885376079,0.177135615,0.830264756,0.874750741,0.822864385
38,0.51443299,0.397320169,0.602679831,0.48556701,0.671242438,0.347009736,0.51443299
39,0.478008865,0.036123776,0.963876224,0.521991135,0.923815685,0.511492156,0.478008865
40,0.926678445,0.063147434,0.936852566,0.073321555,0.974063175,0.750089381,0.926678445
41,0.94315632,0.112843594,0.887156406,0.05684368,0.991541458,0.374517375,0.94315632
42,0.888580247,0.010582155,0.989417845,0.111419753,0.981937356,0.880966952,0.888580247
43,0.976430266,0.529023057,0.470976943,0.023569734,0.969507828,0.624637388,0.976430266
44,0.511985452,0.009896616,0.990103384,0.488014548,0.861460484,0.90212642,0.511985452
45,0.331476323,0.057566558,0.942433442,0.668523677,0.816566351,0.49122807,0.331476323
46,0.666859456,0.044797767,0.955202233,0.333140544,0.941693028,0.584833883,0.666859456
47,0.765875561,0.002874031,0.997125969,0.234124439,0.964060654,0.957497995,0.765875561
48,0.630578007,0.055465443,0.944534557,0.369421993,0.752980448,0.868800299,0.630578007
49,0.822170901,0.048798687,0.951201313,0.177829099,0.941548583,0.765591398,0.822170901
50,0.163912511,0.084002754,0.915997246,0.836087489,0.266815377,0.800798258,0.163912511
